second_category_id,product_name,price,product_feature,quantity
1,[구찌 포터] 기내용 플러스 트롤리,4600000,하우스 러기지 세계의 시작과 런던 사보이 호텔에서 생긴 구찌오 구찌의 추억을 반영한 여행 아이템은 현대적인 스타일을 담아내며 한층 진화했습니다. 캐빈 트롤리는 실버 알루미늄과 베이지/에보니 GG 수프림 캔버스의 독특한 조합이 돋보입니다. ,50
1,[구찌 포터] 기내용 플러스 트롤리,4600000,하우스 러기지 세계의 시작과 런던 사보이 호텔에서 생긴 구찌오 구찌의 추억을 반영한 여행 아이템은 현대적인 스타일을 담아내며 한층 진화했습니다. 캐빈 트롤리는 실버 알루미늄과 그레이 GG 수프림 캔버스의 독특한 조합이 돋보입니다. ,50
1,[구찌 포터] 캐빈 플러스 트롤리 & 스트랩 ,4600000,하우스 러기지 세계의 시작과 런던 사보이 호텔에서 생긴 구찌오 구찌의 추억을 반영한 여행 아이템은 현대적인 스타일을 담아내며 한층 진화했습니다. 캐빈 트롤리는 실버 알루미늄이 돋보이며 수트케이스를 보호하는 그린/레드 웹(Web) 러기지 스트랩으로 완성되었습니다.,50
1,점보 GG 캐빈 스몰 트롤리,4400000,"2023 봄 여름 컬렉션을 맞아 올블랙 디자인으로 선보여 시선을 사로잡는 점보 GG 라인의 시그니처 러기지 아이템. 창립자 구찌오 구찌(Guccio Gucci)의 이니셜을 재해석한 GG를 맥시 사이즈로 장식해 독특한 로고 감성을 드리움. 토널 레더 트리밍과 탈부착 가능한 ID 태그, 자물쇠 및 키홀더로 완성한 기내용 스몰 트롤리.",50
1,[구찌 사보이] 기내용 스몰 트롤리,4100000,유서 깊은 소재를 반영한 GG 수프림을 구찌 러브 퍼레이드에서 블루/베이지 컬러의 타임리스 믹스 스타일로 선보임. 캔버스는 수십 년 동안 각 컬렉션의 전면에 나서며 하우스의 상징으로 자리잡음. 클래식 팔레트로 대표되는 구찌 사보이 캐리온 트롤리.,50
1,[구찌 사보이] 기내용 스몰 트롤리,4100000,1930년대 아카이브 디자인에서 영감을 받아 탄생한 GG 수프림 캔버스는 하우스의 가장 상징적인 소재로 자리잡음. 전통적으로 베이지/에보니 컬러로 선보이며 타임리스 아이템과 시간이 지나도 변함없는 디자인을 기념함. 브라운 레더 트리밍으로 완성된 구찌 사보이 스몰 캐리온. 그린/레드 웹(Web) 디테일이 하우스 아카이브를 은은하게 연상시킴.,50
1,[구찌 사보이] 미디엄 트롤리,4400000,유서 깊은 소재를 반영한 GG 수프림을 구찌 러브 퍼레이드에서 블루/베이지 컬러의 타임리스 믹스 스타일로 선보임. 캔버스는 수십 년 동안 각 컬렉션의 전면에 나서며 하우스의 상징으로 자리잡음. 클래식 팔레트로 대표되는 구찌 사보이 미디엄 캐리온 트롤리.,50
1,[구찌 사보이] 라지 트롤리,4800000,유서 깊은 소재를 반영한 GG 수프림을 구찌 러브 퍼레이드에서 블루/베이지 컬러의 타임리스 믹스 스타일로 선보임. 캔버스는 수십 년 동안 각 컬렉션의 전면에 나서며 하우스의 상징으로 자리잡음. 클래식 팔레트로 대표되는 구찌 사보이 라지 캐리온 트롤리.,50
1,[구찌 사보이] 라지 트롤리,4800000,1930년대 아카이브 디자인에서 영감을 받아 탄생한 GG 수프림 캔버스는 하우스의 가장 상징적인 소재로 자리잡음. 전통적으로 베이지/에보니 컬러로 선보이며 타임리스 아이템과 시간이 지나도 변함없는 디자인을 기념함. 브라운 레더 트리밍으로 완성된 구찌 사보이 라지 캐리온. 그린/레드 웹(Web) 디테일이 하우스 아카이브를 은은하게 연상시킴.,50
1,[구찌 사보이] 미디엄 트롤리,4400000,1930년대 아카이브 디자인에서 영감을 받아 탄생한 GG 수프림 캔버스는 하우스의 가장 상징적인 소재로 자리잡음. 전통적으로 베이지/에보니 컬러로 선보이며 타임리스 아이템과 시간이 지나도 변함없는 디자인을 기념함. 브라운 레더 트리밍으로 완성된 구찌 사보이 미디엄 캐리온. 그린/레드 웹(Web) 디테일이 하우스 아카이브를 은은하게 연상시킴.,50
